1,0.855 
2,1.22 
3,0.802 
4,0.980 
5,1.35 
6,1.01 
7,0.890 
8,1.09 
9,0.921 
10,1.03 
11,0.717 
12,0.782 
13,0.879 
14,0.876 
15,1.35 
16,1.04 
17,0.809 
18,1.47 
19,0.954 
20,0.908 
21,0.879 
22,0.905 
23,0.995 
24,1.02 
25,1.19 
26,0.896 
27,0.840 
28,1.03 
29,0.886 
30,1.37 
31,0.750 
32,0.926 
33,1.05 
34,0.960 
35,1.03 
36,0.991 
37,0.827 
38,0.989 
39,1.02 
40,0.908 
41,0.672 
42,1.32 
43,1.07 
44,1.04 
45,0.870 
46,0.962 
47,1.23 
48,0.961 
49,1.12 
50,1.10 
51,1.30 
52,1.46 
53,1.03 
54,0.747 
55,0.880 
56,0.864 
57,1.06 
58,1.28 
59,1.25 
60,0.834 
61,1.15 
62,1.21 
63,0.697 
64,1.04 
65,1.09 
66,1.04 
67,1.04 
68,1.28 
69,0.862 
70,0.711 
71,0.811 
72,0.960 
73,0.870 
74,0.824 
75,0.774 
76,0.833 
77,0.804 
78,0.870 
79,0.786 
80,0.982 
81,0.853 
82,2.12 
83,1.06 
84,0.739 
85,0.884 
86,0.914 
87,1.17 
88,1.18 
89,0.770 
90,1.14 
91,0.810 
92,1.01 
93,0.935 
94,1.02 
95,1.64 
96,0.775 
97,0.873 
98,0.828 
99,0.941 
100,1.36 
101,0.737 
102,0.653 
103,1.04 
104,0.706 
105,1.49 
106,0.912 
107,0.694 
108,0.788 
109,1.01 
110,0.788 
111,0.766 
112,0.814 
113,0.780 
114,1.14 
115,1.03 
116,0.695 
117,0.750 
118,0.677 
119,0.910 
120,0.681 
121,0.917 
122,1.01 
123,0.654 
124,1.26 
125,1.33 
126,1.32 
127,0.914 
128,0.733 
129,1.23 
130,0.860 
131,1.06 
132,0.895 
133,0.795 
134,1.08 
135,1.02 
136,0.736 
137,0.786 
138,1.15 
139,0.957 
140,1.07 
141,0.911 
142,1.26 
143,0.994 
144,1.14 
145,1.02 
146,0.660 
147,0.994 
148,0.769 
149,1.33 
150,1.01 
151,1.07 
152,1.11 
153,1.53 
154,1.22 
155,0.827 
156,1.31 
157,0.916 
158,0.875 
159,0.999 
160,1.04 
161,1.30 
162,0.977 
163,1.54 
164,1.10 
165,0.896 
166,0.909 
167,0.990 
168,1.29 
169,1.12 
170,0.765 
171,1.03 
172,1.06 
173,1.02 
174,0.817 
175,1.09 
176,0.969 
177,0.986 
178,0.945 
179,1.04 
180,0.732 
181,1.15 
182,1.59 
183,0.964 
184,1.02 
185,0.639 
186,1.81 
187,1.07 
188,0.917 
189,0.965 
190,0.933 
191,0.588 
192,0.878 
193,1.03 
194,1.96 
195,0.904 
196,0.685 
197,1.68 
198,1.03 
199,1.48 
200,1.03 
201,1.52 
202,1.15 
203,1.12 
204,0.789 
205,0.616 
206,0.970 
207,1.18 
208,1.10 
209,0.751 
210,1.09 
211,1.03 
212,0.877 
213,1.06 
214,0.676 
215,0.843 
216,0.967 
217,1.06 
218,0.828 
219,1.07 
220,0.693 
221,0.944 
222,1.05 
223,0.985 
224,0.740 
225,0.577 
226,0.806 
227,0.866 
228,0.974 
229,1.07 
230,0.711 
231,0.958 
232,0.784 
233,0.878 
234,0.762 
235,0.709 
236,1.14 
237,1.19 
238,1.25 
239,1.34 
240,0.979 
241,1.33 
242,0.949 
243,1.81 
244,0.711 
245,1.08 
246,0.682 
247,0.831 
248,0.933 
249,0.929 
250,1.15 
251,1.06 
252,1.05 
253,1.12 
254,1.30 
255,1.50 
